access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,121,7.3448392200e+02,7.3448018599e+02,8.6856301260e+05,8.6856743064e+05
read,122,7.3448411989e+02,7.3448017001e+02,8.6856277858e+05,8.6856744953e+05
read,123,7.3448370981e+02,7.3448010707e+02,8.6856326352e+05,8.6856752397e+05
read,124,7.3448397112e+02,7.3448029494e+02,8.6856295452e+05,8.6856730179e+05
read,125,7.3448393202e+02,7.3448019910e+02,8.6856300075e+05,8.6856741514e+05
read,126,7.3448417211e+02,7.3448031211e+02,8.6856271684e+05,8.6856728149e+05
read,127,7.3448381710e+02,7.3448011398e+02,8.6856313665e+05,8.6856751579e+05
read,128,7.3448359108e+02,7.3447985196e+02,8.6856340393e+05,8.6856782565e+05
read,129,7.3448371911e+02,7.3447959208e+02,8.6856325253e+05,8.6856813297e+05
read,130,7.3448356199e+02,7.3447979712e+02,8.6856343833e+05,8.6856789050e+05
read,131,7.3448369288e+02,7.3447979093e+02,8.6856328354e+05,8.6856789783e+05
read,132,7.3448347998e+02,7.3447991991e+02,8.6856353532e+05,8.6856774529e+05
read,133,7.3448367310e+02,7.3447973609e+02,8.6856330694e+05,8.6856796267e+05
read,134,7.3448359108e+02,7.3447979212e+02,8.6856340393e+05,8.6856789642e+05
read,135,7.3448366880e+02,7.3447962904e+02,8.6856331202e+05,8.6856808927e+05
read,136,7.3448365498e+02,7.3447974992e+02,8.6856332837e+05,8.6856794632e+05
read,137,7.3448360705e+02,7.3447978997e+02,8.6856338504e+05,8.6856789895e+05
read,138,7.3448364401e+02,7.3447964501e+02,8.6856334134e+05,8.6856807038e+05
read,139,7.3448359394e+02,7.3447980618e+02,8.6856340055e+05,8.6856787978e+05
read,140,7.3448355818e+02,7.3448013306e+02,8.6856344284e+05,8.6856749324e+05
read,141,7.3448378396e+02,7.3447973800e+02,8.6856317584e+05,8.6856796042e+05
read,142,7.3448367715e+02,7.3448020792e+02,8.6856330215e+05,8.6856740470e+05
read,143,7.3448345590e+02,7.3447961187e+02,8.6856356379e+05,8.6856810957e+05
read,144,7.3448360395e+02,7.3447969890e+02,8.6856338871e+05,8.6856800666e+05
read,145,7.3448359394e+02,7.3447969604e+02,8.6856340055e+05,8.6856801004e+05
read,146,7.3448363090e+02,7.3447971296e+02,8.6856335685e+05,8.6856799002e+05
read,147,7.3448368120e+02,7.3447980714e+02,8.6856329736e+05,8.6856787865e+05
read,148,7.3448350883e+02,7.3447992802e+02,8.6856350120e+05,8.6856773571e+05
read,149,7.3448357892e+02,7.3448001695e+02,8.6856341831e+05,8.6856763054e+05
read,150,7.3448365092e+02,7.3447999597e+02,8.6856333316e+05,8.6856765535e+05
read,151,7.3448353481e+02,7.3447999215e+02,8.6856347047e+05,8.6856765986e+05
read,152,7.3448350596e+02,7.3447996116e+02,8.6856350458e+05,8.6856769652e+05
read,153,7.3448364210e+02,7.3447999620e+02,8.6856334360e+05,8.6856765507e+05
read,154,7.3448364997e+02,7.3448000002e+02,8.6856333429e+05,8.6856765056e+05
read,155,7.3448349094e+02,7.3447993016e+02,8.6856352235e+05,8.6856773317e+05
read,156,7.3448359895e+02,7.3448009181e+02,8.6856339463e+05,8.6856754201e+05
read,157,7.3448362613e+02,7.3448000503e+02,8.6856336249e+05,8.6856764464e+05
read,158,7.3448357391e+02,7.3448002601e+02,8.6856342423e+05,8.6856761983e+05
read,159,7.3448355603e+02,7.3447987509e+02,8.6856344538e+05,8.6856779830e+05
