,nodes,ntasks_per_node,filesystem.name,filesystem.mountpoint,stonewall,iters,time,ior_api,ior-easy-write,mdtest-easy-write,ior-hard-write,mdtest-hard-write,find,ior-easy-read,mdtest-easy-stat,ior-hard-read,mdtest-hard-stat,mdtest-easy-delete,mdtest-hard-read,mdtest-hard-delete,bandwidth-score,iops-score,total-score
41,1,4,pure,/work/stackhpc-pure/,300,1,4:0:0,POSIX,1.484341,4.106129,0.315494,1.232435,2.606824,1.541402,28.040353,1.492235,27.668928,4.148611,4.993633,1.053263,1.018754,4.662486,2.179433
42,1,4,pure,/work/stackhpc-pure/,300,2,4:0:0,POSIX,1.387308,3.906858,0.31821,1.248566,2.67564,1.532913,27.591711,1.494833,28.505021,4.180646,4.935983,1.001928,1.002881,4.632896,2.155515
43,1,16,pure,/work/stackhpc-pure/,300,0,4:0:0,POSIX,1.51911,12.19982,0.222656,1.178226,9.053095,1.540651,41.140497,1.454138,40.745319,15.484958,11.778541,1.233969,0.933004,9.149114,2.92167
44,1,16,pure,/work/stackhpc-pure/,300,1,4:0:0,POSIX,1.676692,12.258358,0.222805,1.16632,7.712536,1.535582,41.543592,1.451878,41.033581,15.624666,12.073887,1.2165,0.955313,9.002384,2.932591
45,1,16,pure,/work/stackhpc-pure/,300,2,4:0:0,POSIX,1.557928,12.292754,0.222786,1.166753,6.398592,1.534874,41.713628,1.467768,41.819287,15.522469,11.853611,1.198388,0.940354,8.779545,2.873305
46,2,2,pure,/work/stackhpc-pure/,300,0,4:0:0,POSIX,1.82276,4.168694,0.290374,2.021514,1.926784,3.08405,27.668566,0.842846,15.684284,4.055208,5.313491,1.5928,1.083027,4.709116,2.25834
47,2,2,pure,/work/stackhpc-pure/,300,1,4:0:0,POSIX,2.525568,4.128926,0.244372,2.005515,1.942315,3.031941,26.695251,0.92046,15.314212,3.86016,5.303347,1.582007,1.145603,4.634836,2.304275
48,2,2,pure,/work/stackhpc-pure/,300,2,4:0:0,POSIX,2.448375,4.121631,0.252926,2.013269,1.81381,3.055886,28.057369,0.818605,15.161069,3.812908,5.203557,1.621964,1.115631,4.615749,2.269245
49,1,1,panasas,/gws/pw/j07/perf_testing3,300,0,4:0:0,MPIIO,1.163559,0.548412,0.914767,0.268814,245.125285,2.042762,2.918483,1.740939,3.26462,1.818604,1.470886,2.063148,1.394842,2.569496,1.893157
50,1,1,panasas,/gws/pw/j07/perf_testing3,300,1,4:0:0,MPIIO,1.154997,0.549791,0.91037,0.268157,251.850185,2.0525,3.062925,1.775526,3.848499,1.876837,1.447817,2.023838,1.399111,2.646574,1.92428
51,1,1,panasas,/gws/pw/j07/perf_testing3,300,2,4:0:0,MPIIO,1.162051,0.551106,0.902628,0.268187,249.498126,2.031908,3.209074,1.853777,3.92361,1.889498,1.50408,2.152239,1.409853,2.701868,1.951727
52,1,2,panasas,/gws/pw/j07/perf_testing3,300,0,4:0:0,MPIIO,1.804343,1.040955,0.27288,0.500197,276.819298,2.879279,6.349182,0.07253,2.920638,3.662115,3.07288,2.129991,0.566269,3.988665,1.502883
53,1,2,panasas,/gws/pw/j07/perf_testing3,300,1,4:0:0,MPIIO,1.884882,1.030154,0.095724,0.50365,374.681281,3.909537,6.80141,2.848353,11.244671,3.79494,5.892057,2.102432,1.190573,5.377174,2.530201
54,1,2,panasas,/gws/pw/j07/perf_testing3,300,2,4:0:0,MPIIO,1.938823,1.04211,0.094638,0.50303,378.97381,3.718842,6.057885,2.835866,7.376309,3.861523,5.452772,2.065484,1.179435,4.992687,2.426634
55,1,4,panasas,/gws/pw/j07/perf_testing3,300,0,4:0:0,MPIIO,2.861759,1.894125,0.052031,0.542592,618.385804,2.403607,14.061989,0.070196,3.990258,5.600251,6.158223,2.113859,0.398123,6.336741,1.588334
56,1,4,panasas,/gws/pw/j07/perf_testing3,300,1,4:0:0,MPIIO,2.909612,1.884372,0.05787,0.541489,327.131681,2.798531,12.77474,0.070952,4.078148,5.33162,6.101517,2.125739,0.427609,5.754567,1.568663
57,1,16,panasas,/gws/pw/j07/perf_testing3,300,0,4:0:0,MPIIO,3.639051,3.803781,0.06139,0.526208,866.508149,4.310899,39.566719,0.043425,4.472216,7.091921,19.375075,2.050982,0.452218,9.820215,2.10734
58,1,16,panasas,/gws/pw/j07/perf_testing3,300,1,4:0:0,MPIIO,3.705299,3.815945,0.062386,0.525726,887.326875,4.46877,39.057016,0.03831,3.565248,6.986902,19.287491,2.053772,0.446019,9.539889,2.062759
59,1,16,panasas,/gws/pw/j07/perf_testing3,300,2,4:0:0,MPIIO,3.67264,3.848357,0.062346,0.528402,971.732496,4.470348,38.8698,0.045839,3.666166,7.01522,19.470485,2.027123,0.465415,9.693678,2.124049
60,2,2,panasas,/gws/pw/j07/perf_testing3,300,0,4:0:0,MPIIO,3.453512,1.896342,0.020964,0.964229,202.651183,1.977278,13.800206,0.09766,6.825335,6.323331,4.319757,2.639892,0.343857,6.311112,1.473133
61,2,2,panasas,/gws/pw/j07/perf_testing3,300,1,4:0:0,MPIIO,3.461171,1.90645,0.020686,0.962872,376.037819,1.985657,14.312249,0.095587,7.569679,6.205083,4.227368,2.22248,0.341429,6.759791,1.519206
62,2,2,panasas,/gws/pw/j07/perf_testing3,300,2,4:0:0,MPIIO,3.621186,1.873207,0.020932,0.974462,235.181054,1.988917,13.106627,0.11666,7.422645,6.036882,4.25329,2.463112,0.364165,6.349332,1.520593
63,1,32,panasas,/gws/pw/j07/perf_testing3,300,0,4:0:0,POSIX,2.235384,4.66159,0.046563,0.499537,957.076042,2.528863,42.793703,0.039629,6.150307,8.724756,27.448105,0.844675,0.319583,10.216096,1.8069
64,1,32,panasas,/gws/pw/j07/perf_testing3,300,1,4:0:0,POSIX,3.118623,4.703268,0.055081,0.507603,847.89453,4.002782,43.110439,0.035117,6.04219,8.770053,26.397253,0.842601,0.394195,10.035249,1.988931
65,1,32,panasas,/gws/pw/j07/perf_testing3,300,2,4:0:0,POSIX,3.449866,4.667083,0.053255,0.503089,736.37954,3.003579,42.101772,0.032929,6.001715,8.410588,24.241775,0.842775,0.367151,9.647922,1.882084
66,1,32,pure,/work/stackhpc-pure/,300,0,4:0:0,POSIX,1.693252,14.681107,0.202118,1.050503,13.795911,1.558759,41.16936,1.491414,41.110384,20.337324,13.16771,1.260357,0.944444,10.24687,3.110883
67,1,32,pure,/work/stackhpc-pure/,300,1,4:0:0,POSIX,1.698081,14.09755,0.197248,1.041595,15.966498,1.529296,41.337026,1.479487,40.967584,19.859885,13.159716,1.290183,0.933025,10.371422,3.110755
68,1,32,pure,/work/stackhpc-pure/,300,2,4:0:0,POSIX,1.603004,14.186067,0.204409,1.057013,9.328081,1.570033,41.163541,1.465327,41.562246,19.794448,13.196224,1.277928,0.931793,9.723123,3.009972
