,vendor,nodes,threads,obj_size,operation,Throughput (GiB/s),kIOPS
149,quobyte,2,50,100MiB,put,2.62361328125,0.02687
150,quobyte,2,50,1GiB,get,,
151,quobyte,2,50,1GiB,put,,
152,quobyte,2,100,10KiB,get,0.039345703125,4.125520000000001
153,quobyte,2,100,10KiB,put,0.009931640625,1.04095
154,quobyte,2,100,10MiB,get,4.1502734375,0.42499000000000003
155,quobyte,2,100,10MiB,put,3.698037109375,0.37868
156,quobyte,2,100,100MiB,get,4.21986328125,0.04321
157,quobyte,2,100,100MiB,put,3.3859375,0.03467
158,quobyte,2,100,1GiB,get,4.32603515625,0.00433
159,quobyte,2,100,1GiB,put,,
160,quobyte,5,1,10KiB,get,0.00625,0.6557200000000001
161,quobyte,5,1,10KiB,put,0.00244140625,0.25617
162,quobyte,5,1,10MiB,get,0.861484375,0.08821999999999999
163,quobyte,5,1,10MiB,put,0.221669921875,0.022699999999999998
164,quobyte,5,1,100MiB,get,1.866611328125,0.01911
165,quobyte,5,1,100MiB,put,0.20904296875,0.00214
166,quobyte,5,1,1GiB,get,3.13291015625,0.00313
167,quobyte,5,1,1GiB,put,0.214541015625,0.00020999999999999998
168,quobyte,5,20,10KiB,get,0.032431640625,3.40083
169,quobyte,5,20,10KiB,put,0.008671875,0.90913
170,quobyte,5,20,10MiB,get,3.783232421875,0.38739999999999997
171,quobyte,5,20,10MiB,put,3.374609375,0.34556
172,quobyte,5,20,100MiB,get,4.168525390625,0.04269
173,quobyte,5,20,100MiB,put,2.491220703125,0.02551
174,quobyte,5,20,1GiB,get,,
175,quobyte,5,20,1GiB,put,2.507275390625,0.0025099999999999996
176,quobyte,5,50,10KiB,get,0.042900390625,4.49889
177,quobyte,5,50,10KiB,put,0.010068359375,1.05622
178,quobyte,5,50,10MiB,get,4.006123046875,0.41023000000000004
179,quobyte,5,50,10MiB,put,3.72037109375,0.38097000000000003
180,quobyte,5,50,100MiB,get,4.14927734375,0.04249
181,quobyte,5,50,100MiB,put,3.466171875,0.03549
182,quobyte,5,50,1GiB,get,,
183,quobyte,5,50,1GiB,put,,
184,quobyte,5,100,10KiB,get,0.048330078125,5.067939999999999
185,quobyte,5,100,10KiB,put,0.010732421875,1.12521
186,quobyte,5,100,10MiB,get,3.806943359375,0.38983
187,quobyte,5,100,10MiB,put,3.49916015625,0.35831
188,quobyte,5,100,100MiB,get,4.317724609375,0.04421
189,quobyte,5,100,100MiB,put,3.356025390625,0.03437
190,quobyte,5,100,1GiB,get,,
191,quobyte,5,100,1GiB,put,,
192,caringo,1,1,10KiB,get,0.00052734375,0.055009999999999996
193,caringo,1,1,10KiB,put,8.7890625e-05,0.00873
194,caringo,1,1,10MiB,get,0.103876953125,0.01064
195,caringo,1,1,10MiB,put,0.02201171875,0.00225
196,caringo,1,1,100MiB,get,0.0333203125,0.00034
197,caringo,1,1,100MiB,put,0.01916015625,0.0002
198,caringo,1,1,1GiB,get,0.0340625,2.9999999999999997e-05
199,caringo,1,1,1GiB,put,0.025654296875,2.9999999999999997e-05
200,caringo,1,20,10KiB,get,0.01111328125,1.16541
201,caringo,1,20,10KiB,put,0.001826171875,0.19166
202,caringo,1,20,10MiB,get,1.612724609375,0.16513999999999998
203,caringo,1,20,10MiB,put,0.417802734375,0.04278
204,caringo,1,20,100MiB,get,0.850439453125,0.00871
205,caringo,1,20,100MiB,put,0.238466796875,0.00244
206,caringo,1,20,1GiB,get,0.768857421875,0.0007700000000000001
207,caringo,1,20,1GiB,put,0.43455078125,0.00043
208,caringo,1,50,10KiB,get,0.022744140625,2.3848000000000003
209,caringo,1,50,10KiB,put,0.004052734375,0.42463
210,caringo,1,50,10MiB,get,2.7592578125,0.28255
211,caringo,1,50,10MiB,put,0.75564453125,0.07737999999999999
212,caringo,1,50,100MiB,get,1.650087890625,0.0169
213,caringo,1,50,100MiB,put,0.782314453125,0.00801
214,caringo,1,50,1GiB,get,1.551708984375,0.00155
215,caringo,1,50,1GiB,put,0.92607421875,0.00093
216,caringo,1,100,10KiB,get,0.0391015625,4.09969
217,caringo,1,100,10KiB,put,0.00541015625,0.56737
218,caringo,1,100,10MiB,get,3.524267578125,0.36089
219,caringo,1,100,10MiB,put,1.0087109375,0.10329
220,caringo,1,100,100MiB,get,2.746962890625,0.02813
221,caringo,1,100,100MiB,put,1.14109375,0.01168
222,caringo,1,100,1GiB,get,2.777392578125,0.00278
223,caringo,1,100,1GiB,put,1.490791015625,0.00149
224,caringo,2,1,10KiB,get,0.001025390625,0.10754999999999999
225,caringo,2,1,10KiB,put,0.000185546875,0.01986
226,caringo,2,1,10MiB,get,0.1952734375,0.02
227,caringo,2,1,10MiB,put,0.045439453125,0.0046500000000000005
228,caringo,2,1,100MiB,get,0.06015625,0.00062
229,caringo,2,1,100MiB,put,0.0401953125,0.00041
230,caringo,2,1,1GiB,get,0.0572265625,5.9999999999999995e-05
231,caringo,2,1,1GiB,put,0.05033203125,5e-05
232,caringo,2,20,10KiB,get,0.019375,2.03133
233,caringo,2,20,10KiB,put,0.003408203125,0.35735
234,caringo,2,20,10MiB,get,2.39416015625,0.24516
235,caringo,2,20,10MiB,put,0.671865234375,0.0688
236,caringo,2,20,100MiB,get,1.603466796875,0.01642
237,caringo,2,20,100MiB,put,0.6423828125,0.00658
238,caringo,2,20,1GiB,get,1.416103515625,0.0014199999999999998
239,caringo,2,20,1GiB,put,0.780400390625,0.00078
240,caringo,2,50,10KiB,get,0.038857421875,4.0747800000000005
241,caringo,2,50,10KiB,put,0.00525390625,0.55131
242,caringo,2,50,10MiB,get,4.02107421875,0.41176
243,caringo,2,50,10MiB,put,1.02890625,0.10536
