access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,145,3.2586581016e+02,3.1772964191e+02,3.0389047993e+07,3.1167226590e+07
write,146,3.2586566210e+02,3.1620150518e+02,3.0389061800e+07,3.1317851375e+07
write,147,3.2586597991e+02,3.1638933611e+02,3.0389032162e+07,3.1299258900e+07
write,148,3.2586571193e+02,3.1703842688e+02,3.0389057153e+07,3.1235178150e+07
write,149,3.2586580396e+02,3.1474713707e+02,3.0389048571e+07,3.1462563365e+07
write,150,3.2586593890e+02,3.1691725683e+02,3.0389035986e+07,3.1247120599e+07
write,151,3.2586602592e+02,3.1680475783e+02,3.0389027871e+07,3.1258216612e+07
write,152,3.2586570406e+02,3.1625251102e+02,3.0389057887e+07,3.1312800369e+07
write,153,3.2586598897e+02,3.1233657694e+02,3.0389031317e+07,3.1705386033e+07
write,154,3.2586560202e+02,3.1762503982e+02,3.0389067403e+07,3.1177490760e+07
write,155,3.2586568999e+02,3.1466225004e+02,3.0389059199e+07,3.1471051080e+07
write,156,3.2586587119e+02,3.1681782508e+02,3.0389042301e+07,3.1256927357e+07
write,157,3.2586613393e+02,3.1739464116e+02,3.0389017799e+07,3.1200122686e+07
write,158,3.2586564398e+02,3.0882975602e+02,3.0389063490e+07,3.2065406752e+07
write,159,3.2586572504e+02,3.1618450713e+02,3.0389055930e+07,3.1319535020e+07
